"whale_index","Sr_DIV_Ca","row_number","millimeters","no_trend","nt_sd"
"SMP_210151",0.000661659897481648,1,0.1,9.9267422713346e-05,0.708049801093984
"SMP_210151",0.000593116341565823,2,0.2602,3.07612885122185e-05,0.219412609062758
"SMP_210151",0.000550089455534569,3,0.4204,-1.22287976993872e-05,-0.0872249680912244
"SMP_210151",0.000580329302257961,4,0.5806,1.80472276865182e-05,0.128726379958881
"SMP_210151",0.000606175618121186,5,0.7408,4.39291017930361e-05,0.313335341410197
"SMP_210151",0.000570333504378293,6,0.901,8.12192661212995e-06,0.0579316795483337
"SMP_210151",0.000604505523139883,7,1.0612,4.23282649923153e-05,0.301916971240485
"SMP_210151",0.000606445012298649,8,1.2214,4.43014555641999e-05,0.315991248115567
"SMP_210151",0.000577801888073073,9,1.3816,1.56914152841802e-05,0.111922956869043
"SMP_210151",0.000574905349111761,10,1.5418,1.28273435387761e-05,0.0914942464802556
"SMP_210151",0.00058321896985508,11,1.702,2.11728155062688e-05,0.151020419368637
"SMP_210151",0.000583513588682946,12,1.8622,2.14986703044905e-05,0.153344660481783
"SMP_210151",0.000547295152314162,13,2.0224,-1.46891446098429e-05,-0.104774009790442
"SMP_210151",0.000600656028745915,14,2.1826,3.87017394983709e-05,0.276049868172195
"SMP_210151",0.000580378329061064,15,2.3428,1.84534344499047e-05,0.131623751625812
"SMP_210151",0.000623696325508897,16,2.503,6.18002132319616e-05,0.440805528041308
"SMP_210151",0.000596631521962831,17,2.6632,3.4763580455873e-05,0.247959960622472
"SMP_210151",0.000610491008788757,18,2.8234,4.86506272254437e-05,0.347012806301475
"SMP_210151",0.000595830595042696,19,2.9836,3.40171633346095e-05,0.242635953210999
"SMP_210151",0.000563630858425159,20,3.1438,1.8437672217968e-06,0.0131511323551399
"SMP_210151",0.000540491199845689,21,3.304,-2.12701594655387e-05,-0.151714749584077
"SMP_210151",0.000575795138265127,22,3.4642,1.40589029713596e-05,0.100278653161129
"SMP_210151",0.000531632841366371,23,3.6244,-3.00788770466957e-05,-0.214545138051418
"SMP_210151",0.000541379304273801,24,3.7846,-2.03085036574108e-05,-0.144855498229964
"SMP_210151",0.0005777051430919,25,3.9448,1.60406399816129e-05,0.114413889652383
"SMP_210151",0.000633916754060661,26,4.105,7.2274950848281e-05,0.515519222454062
"SMP_210151",0.000621928826581757,27,4.2652,6.03091190821824e-05,0.430169924866515
"SMP_210151",0.000568300850834751,28,4.4254,6.70263560079436e-06,0.0478082302756295
"SMP_210151",0.000577340584639886,29,4.5856,1.57632589622745e-05,0.112435399930363
"SMP_210151",0.000511800258782633,30,4.7458,-4.97567793099915e-05,-0.354902713604755
"SMP_210151",0.000504775464041221,31,4.906,-5.67618876998614e-05,-0.404868406946185
"SMP_210151",0.00047049641556808,32,5.0662,-9.10218503169909e-05,-0.649236186963954
"SMP_210151",0.000447357069086734,33,5.2264,-0.000114142710699939,-0.814151525226959
"SMP_210151",0.000477062276669984,34,5.3866,-8.44196160379932e-05,-0.602144094309153
"SMP_210151",0.000478718342398352,35,5.5468,-8.27462615127145e-05,-0.590208473272585
"SMP_210151",0.00049940280620891,36,5.707,-6.20451064491179e-05,-0.442552290362291
"SMP_210151",0.000498704515585193,37,5.8672,-6.27273026257534e-05,-0.447418225771622
"SMP_210151",0.000516236865011239,38,6.0274,-4.51794548206702e-05,-0.322253798123535
"SMP_210151",0.000564228106394233,39,6.1876,2.82668961123405e-06,0.0201620729367402
"SMP_210151",0.000551395882041761,40,6.3478,-9.99122628454231e-06,-0.0712649285141969
"SMP_210151",0.000559960516869088,41,6.508,-1.4128768548188e-06,-0.0100776986918816
"SMP_210151",0.000575181992944943,42,6.6682,1.38217207070477e-05,0.0985868911461722
"SMP_210151",0.000543813933825678,43,6.8284,-1.75338093046768e-05,-0.12506429452134
"SMP_210151",0.000586031752362356,44,6.9886,2.46959466989863e-05,0.176150036639301
"SMP_210151",0.000507302837791045,45,7.1488,-5.40216213079809e-05,-0.385322769307154
"SMP_210151",0.000523781700175763,46,7.309,-3.75320025236467e-05,-0.26770642568475
"SMP_210151",0.00056311727116153,47,7.4692,1.81373543492328e-06,0.0129369230995647
"SMP_210151",0.000577879963386671,48,7.6294,1.65860059439697e-05,0.118303849224369
"SMP_210151",0.000525182752939594,49,7.7896,-3.61022141701856e-05,-0.257508101485299
"SMP_210151",0.000578961574525632,50,7.9498,1.76850105357052e-05,0.126142775241686
"SMP_210151",0.00055612845998894,51,8.11,-5.14028735628985e-06,-0.0366643893908372
"SMP_210151",0.000580269193223082,52,8.2702,1.90076767853094e-05,0.135577024155858
"SMP_210151",0.000511987211427421,53,8.4304,-4.92676591022196e-05,-0.351413940990762
"SMP_210151",0.000528073170148389,54,8.5906,-3.31756387345313e-05,-0.236633567842118
"SMP_210151",0.000522990807851447,55,8.7508,-3.82525229082498e-05,-0.272845718123877
"SMP_210151",0.000567275532865078,56,8.911,6.03709744302183e-06,0.043061112365738
"SMP_210151",0.000535356070842342,57,9.0712,-2.58780512897415e-05,-0.184581694251421
"SMP_210151",0.000479069143571893,58,9.2314,-8.21612465799713e-05,-0.586035707470435
"SMP_210151",0.000578224132443163,59,9.3916,1.69968936996794e-05,0.121234609243618
"SMP_210151",0.000523887697052346,60,9.5518,-3.73369701166817e-05,-0.266315308103735
"SMP_210151",0.000565884867918388,61,9.712,4.66219322780626e-06,0.0332542630540778
"SMP_210151",0.000520494474574712,62,9.8722,-4.07267859955194e-05,-0.290494020446124
"SMP_210151",0.000549508181685608,63,10.0324,-1.17122423844552e-05,-0.0835405076912818
"SMP_210151",0.000515821279024041,64,10.1926,-4.53988854281189e-05,-0.323818941991596
"SMP_210151",0.000505760040100996,65,10.3528,-5.54604408776145e-05,-0.395585510922106
"SMP_210151",0.000497774598425166,66,10.513,-6.34467744863314e-05,-0.45255003935004
"SMP_210151",0.000507016208051686,67,10.6732,-5.42066314612217e-05,-0.386642400648656
"SMP_210151",0.000475264905077638,68,10.8334,-8.59599749672903e-05,-0.613131090885579
"SMP_210151",0.000515117938455733,69,10.9936,-4.61095553139086e-05,-0.328887973276209
"SMP_210151",0.000537903761495916,70,11.1538,-2.33269184532195e-05,-0.166385099154156
"SMP_210151",0.000557883111559891,71,11.314,-3.35132628560364e-06,-0.023904175660679
"SMP_210151",0.000605755102266836,72,11.4742,4.45163355460317e-05,0.317523933504553
"SMP_210151",0.000555085588292462,73,11.6344,-6.15807754468848e-06,-0.0439240332977014
"SMP_210151",0.000536896243394994,74,11.7946,-2.43528910616251e-05,-0.173703106224888
"SMP_210151",0.000647869371637539,75,11.9548,8.66141997962435e-05,0.61779751363888
"SMP_210151",0.000598757495297848,76,12.115,3.74957180445843e-05,0.267447617533186
"SMP_210151",0.000636404997534499,77,12.2752,7.51360475798883e-05,0.535926712810441
"SMP_210151",0.000611197724651655,78,12.4354,4.99210354442326e-05,0.356074311698056
"SMP_210151",0.000626105333974029,79,12.5956,6.48203397002454e-05,0.46234733789893
"SMP_210151",0.000643945554141002,80,12.7558,8.26516897252216e-05,0.589533916267949
"SMP_210151",0.000638425161999814,81,12.916,7.71218631043167e-05,0.550091040327447
"SMP_210151",0.000622063859625168,82,13.0762,6.07505626501477e-05,0.433318631883868
"SMP_210151",0.000614733215486058,83,13.2364,5.34093575696231e-05,0.380955644561576
"SMP_210151",0.000660077071604039,84,13.3966,9.87420906222117e-05,0.704302738135475
"SMP_210151",0.00059593053527105,85,13.5568,3.45838698377671e-05,0.246678129545102
"SMP_210151",0.000605973674696621,86,13.717,4.4614764163735e-05,0.318226000318436
"SMP_210151",0.000564067578159166,87,13.8772,2.69586261644338e-06,0.0192289165687467
"SMP_210151",0.000596858439574319,88,14.0374,3.54733598494397e-05,0.253022640247859
"SMP_210151",0.000604091782849421,89,14.1976,4.26927805079803e-05,0.304516969621701
"SMP_210151",0.000577643524734527,90,14.3578,1.6230042080034e-05,0.115764847644927
"SMP_210151",0.000617220325378695,91,14.518,5.57918054525741e-05,0.397949051900371
"SMP_210151",0.000642909890898894,92,14.6782,8.14657774804835e-05,0.581075099608364
"SMP_210151",0.000552404447959238,93,14.8384,-9.05581443420888e-06,-0.064592868774295
"SMP_210151",0.000592947460765319,94,14.9986,3.14704946520029e-05,0.224471199811699
"SMP_210151",0.000624842439744914,95,15.1588,6.33482159048106e-05,0.451847045536618
"SMP_210151",0.000626060837295025,96,15.319,6.45488024591309e-05,0.460410530391436
