"whale_index","Elapsed_DIV_Time","Pb_DIV_Ca","row_number","no_trend","nt_sd"
"SMP_137",9.46484017372131,2.76614743222497e-05,1,1.44085794278067e-05,2.53418828448219
"SMP_137",12.6191401481628,2.63386729293495e-05,2,1.31146376970955e-05,2.30660915420078
"SMP_137",15.7734401226044,2.71869121188673e-05,3,1.39916961568847e-05,2.46086664257708
"SMP_137",18.9296901226044,2.11923107613174e-05,4,8.02589132567628e-06,1.41159785195786
"SMP_137",22.0839800834656,2.01045620025326e-05,5,6.96688054454631e-06,1.22533849668092
"SMP_137",25.2382800579071,2.39932824112153e-05,6,1.08842982377398e-05,1.91433591473001
"SMP_137",28.3945300579071,2.39002017869583e-05,7,1.0819891685764e-05,1.90300805758221
"SMP_137",31.5488300323486,2.16739968395938e-05,8,8.62230203617262e-06,1.51649487132416
"SMP_137",34.7031202316284,2.39877568839151e-05,9,1.0964636112817e-05,1.92846578109477
"SMP_137",37.8574202060699,2.21477363047057e-05,10,9.15314834676913e-06,1.60986039066038
"SMP_137",41.0136702060699,1.95913052168656e-05,11,6.62522623436111e-06,1.16524816268565
"SMP_137",44.1679701805115,2.04663562390442e-05,12,7.52872703596708e-06,1.32415634360121
"SMP_137",47.3222601413727,1.89817654174169e-05,13,6.07254420335041e-06,1.06804216572747
"SMP_137",50.4785101413727,1.93869126016078e-05,14,6.50607515907386e-06,1.14429181091001
"SMP_137",53.6328101158142,1.84344751539207e-05,15,5.58196197162564e-06,0.981758313079734
"SMP_137",56.7871100902557,2.1678315934207e-05,16,8.85408491932889e-06,1.55726096280328
"SMP_137",59.9433600902557,2.03666274105534e-05,17,7.57065378463702e-06,1.33153044150019
"SMP_137",63.0976500511169,2.03982568448851e-05,18,7.63048069262743e-06,1.34205282853256
"SMP_137",66.2539000511169,2.07080516578014e-05,19,7.96844797607534e-06,1.40149468638838
"SMP_137",69.40625,1.76006321327555e-05,20,4.88912352013351e-06,0.859901533540335
"SMP_137",72.5625,1.95753838221926e-05,21,6.89196226411816e-06,1.21216183138189
"SMP_137",75.7167901992798,2.00110273138999e-05,22,7.35563247946899e-06,1.29371238489016
"SMP_137",78.8710901737213,1.98295186935766e-05,23,7.20210766102991e-06,1.26671036167094
"SMP_137",82.0273401737213,2.18501495589788e-05,24,9.25069644869954e-06,1.62701720048498
"SMP_137",85.1816401481628,2.12036952546469e-05,25,8.63213950965733e-06,1.51822509116844
"SMP_137",88.3378901481628,2.18687341681163e-05,26,9.32504959341206e-06,1.64009446942665
"SMP_137",91.4921901226044,2.05420834689671e-05,27,8.02620929937861e-06,1.41165377733449
"SMP_137",94.6464800834656,2.13982387951862e-05,28,8.91013127972254e-06,1.56711842519984
"SMP_137",97.8027300834656,1.4717002873804e-05,29,2.25663543203863e-06,0.396898188532264
"SMP_137",100.957030057907,1.58331224695801e-05,30,3.40043402469515e-06,0.598070067261923
"SMP_137",104.111330032349,1.78332486345188e-05,31,5.42819513107914e-06,0.954713722889062
"SMP_137",107.265620231628,1.67584566560228e-05,32,4.38099382234425e-06,0.770531423628602
"SMP_137",110.421870231628,1.5724318453195e-05,33,3.37441907358683e-06,0.593494544418023
"SMP_137",113.57617020607,1.38291073412863e-05,34,1.50670992455331e-06,0.26500090852449
"SMP_137",116.730470180511,1.47665600705983e-05,35,2.47162003796873e-06,0.434709790461644
"SMP_137",119.886720180511,1.78827861899286e-05,36,5.61527576480116e-06,0.987617559981905
"SMP_137",123.041010141373,1.85584477151217e-05,37,6.31830500954118e-06,1.11126670142539
"SMP_137",126.195310115814,1.75596505447576e-05,38,5.34683067438244e-06,0.940403300826488
"SMP_137",129.351560115814,1.58070959736975e-05,39,3.62157068585995e-06,0.636963695797698
"SMP_137",132.505860090256,1.28364545800069e-05,40,6.78161764340466e-07,0.119275436331963
"SMP_137",135.660150051117,1.09421169274629e-05,41,-1.18898886608491e-06,-0.209119967024454
"SMP_137",138.816400051117,1.0076163854291e-05,42,-2.02778356022054e-06,-0.356647604819341
"SMP_137",141.970700025558,7.77094426864078e-06,43,-4.30590718569424e-06,-0.757325147751579
"SMP_137",145.126950025558,9.94153768568759e-06,44,-2.10824685623366e-06,-0.370799530282149
"SMP_137",148.27929019928,1.29005173708205e-05,45,8.77720353391104e-07,0.154373902559935
"SMP_137",151.43554019928,1.24566496203046e-05,46,4.60827553413058e-07,0.0810505846795846
"SMP_137",154.589840173721,1.28880656153007e-05,47,9.19155669916745e-07,0.161661567123205
"SMP_137",157.744140148163,1.10569361136548e-05,48,-8.85107989897478e-07,-0.155673243829369
"SMP_137",160.900390148163,8.3008914669219e-06,49,-3.61431663958071e-06,-0.635687850445417
"SMP_137",164.054690122604,7.85066242467462e-06,50,-4.03777282060323e-06,-0.710165539124974
"SMP_137",167.210940122604,6.53719650634387e-06,51,-5.32449604192444e-06,-0.936475074300279
"SMP_137",170.365230083466,8.41241006517309e-06,52,-3.42260321067821e-06,-0.601969194977897
"SMP_137",173.519530057907,1.0407779931494e-05,53,-1.40060092107752e-06,-0.246338402978143
"SMP_137",176.675780057907,1.29014113100323e-05,54,1.11963223681834e-06,0.196921487762902
"SMP_137",179.830080032349,1.2515909312638e-05,55,7.60668373229795e-07,0.133786740703592
"SMP_137",182.984370231628,1.21348481566344e-05,56,4.0609794258024e-07,0.0714247128660778
"SMP_137",186.13867020607,1.68188094278804e-05,57,5.11650256410483e-06,0.899893075541822
"SMP_137",189.29492020607,2.06030332895528e-05,58,8.92713849142443e-06,1.57010966225153
"SMP_137",192.449220180511,2.11834851533499e-05,59,9.53393836902953e-06,1.67683393361755
"SMP_137",195.603510141373,2.14153794087836e-05,60,9.79213270508843e-06,1.72224528487799
"SMP_137",198.759760141373,2.7893328831974e-05,61,1.6296350526435e-05,2.86621042628305
"SMP_137",201.914060115814,3.29934239040922e-05,62,2.14226496409883e-05,3.76782652410469
"SMP_137",205.068360090256,2.88289893545443e-05,63,1.72843708915862e-05,3.03998395105982
"SMP_137",208.224610090256,2.18772659650822e-05,64,1.03587710540983e-05,1.82190592615036
"SMP_137",211.378900051117,2.74116714379031e-05,65,1.59192353373695e-05,2.79988321485887
"SMP_137",214.533200025558,3.27509654955077e-05,66,2.12845396534157e-05,3.74353566918524
"SMP_137",217.689450025558,4.07876344170906e-05,67,2.93471861024065e-05,5.16159803094193
"SMP_137",220.84375,4.10314964758791e-05,68,2.96169607273024e-05,5.20904612929799
"SMP_137",223.99804019928,4.12753585346676e-05,69,2.98866862447888e-05,5.25648559061787
"SMP_137",227.152340173721,4.15192205934561e-05,70,3.01563626843539e-05,5.30391642008798
"SMP_137",230.308590173721,4.17630826522446e-05,71,3.04260057479695e-05,5.35134137937909
"SMP_137",233.462890148163,4.20069447110331e-05,72,3.06955834482039e-05,5.39875484252544
