"whale_index","Elapsed_DIV_Time","Pb_DIV_Ca","row_number","no_trend","nt_sd"
"SMP_26",9.46398997306824,1.23066046570976e-05,1,7.1665474006174e-06,0.319483164938151
"SMP_26",12.6190190315247,8.84532746860295e-06,2,3.67329675348505e-06,0.163754791108943
"SMP_26",15.7740480899811,9.7097460701091e-06,3,4.50579523190497e-06,0.200867396918105
"SMP_26",18.9290781021118,1.1433884347028e-05,4,6.19806617930869e-06,0.276308477257969
"SMP_26",22.0839850902557,1.45262066017939e-05,5,9.25857461498202e-06,0.412745294973651
"SMP_26",25.2390141487122,1.4706560336939e-05,6,9.40716503758439e-06,0.419369424535455
"SMP_26",28.39404296875,1.31573184762292e-05,7,7.82621107287494e-06,0.348890831702401
"SMP_26",31.5490729808807,1.2720780137093e-05,8,7.35801129157069e-06,0.328018584636604
"SMP_26",34.7039799690247,1.51960638939539e-05,9,9.8016849793785e-06,0.436957039964432
"SMP_26",37.8590090274811,1.42928117965372e-05,10,8.86687119798025e-06,0.395283239623255
"SMP_26",41.0140380859375,1.57749628668737e-05,11,1.03175096610808e-05,0.459952395000984
"SMP_26",44.1690680980682,1.63717723845656e-05,12,1.08828551064233e-05,0.485155375189998
"SMP_26",47.3239750862122,1.86195820630186e-05,13,1.30992499486659e-05,0.583961787729913
"SMP_26",50.4780280590057,1.29122822403511e-05,14,7.36059125040239e-06,0.328133598654776
"SMP_26",53.6330571174622,1.5210224081475e-05,15,9.62721145148046e-06,0.429179047051696
"SMP_26",56.7879641056061,1.33296120682243e-05,16,7.71532542250506e-06,0.343947572899237
"SMP_26",59.9429941177368,1.56898480038812e-05,17,1.00443320048655e-05,0.447774192957623
"SMP_26",63.0980231761932,1.30310828344191e-05,18,7.354382842014e-06,0.327856829124028
"SMP_26",66.2530519962311,1.278176211132e-05,19,7.07392294598129e-06,0.315353986372296
"SMP_26",69.407958984375,1.28012998556528e-05,20,7.06236700300775e-06,0.314838824882579
"SMP_26",72.5629889965057,1.44385011704214e-05,21,8.66851717056751e-06,0.386440659101065
"SMP_26",75.7180180549622,1.23432744934069e-05,22,6.5422825767939e-06,0.291653571338099
"SMP_26",78.8730471134186,1.39738136266201e-05,23,8.14185648194951e-06,0.362962237171743
"SMP_26",82.0280771255493,1.57209622936257e-05,24,9.85808206790237e-06,0.43947121022351
"SMP_26",85.1829841136932,1.16383373545822e-05,25,5.74457687517609e-06,0.256092020148176
"SMP_26",88.3370370864868,8.94932008108626e-06,26,3.02472877894672e-06,0.134841768198471
"SMP_26",91.4920661449432,8.5740220458133e-06,27,2.61863093285126e-06,0.116738012248435
