"whale_index","Elapsed_DIV_Time","Sr_DIV_Ca","row_number","no_trend","nt_sd"
"SMP_18",9.46483993530273,0.000587713694526363,1,1.87093891789803e-05,0.158817462691736
"SMP_18",12.6210899353027,0.00058850018469103,2,1.93482778499231e-05,0.164240765221336
"SMP_18",15.7773399353027,0.000592901972878065,3,2.36018994950113e-05,0.200348272017043
"SMP_18",18.9296898841858,0.000615597153420759,4,4.61485325800145e-05,0.391738756470952
"SMP_18",22.0859398841858,0.000555672013514386,5,-1.39259032600386e-05,-0.11821212335113
"SMP_18",25.2382800579071,0.000552347408418069,6,-1.7400183340902e-05,-0.147704072117853
"SMP_18",28.3945300579071,0.000557652649609741,7,-1.22453674642241e-05,-0.10394664260771
"SMP_18",31.5507800579071,0.000549862961798549,8,-2.01860456277885e-05,-0.171352282948219
"SMP_18",34.7031300067902,0.000530333957873388,9,-3.9866417320972e-05,-0.338412076682866
"SMP_18",37.8593800067902,0.000591341749221548,10,2.09892543047567e-05,0.17817044055175
"SMP_18",41.0156300067902,0.000520876008712399,11,-4.96291709576936e-05,-0.421284678596059
"SMP_18",44.1679699420929,0.000516497663738144,12,-5.41605755136053e-05,-0.45975018739034
"SMP_18",47.3242199420929,0.000512561388543797,13,-5.82506648165142e-05,-0.494469525315085
"SMP_18",50.4804699420929,0.000542114588825622,14,-2.88518436676143e-05,-0.244913212368106
"SMP_18",53.6328101158142,0.000605117301642967,15,3.39961172822721e-05,0.288581152302237
"SMP_18",56.7890601158142,0.000628280416992186,16,5.70037241562686e-05,0.48388468206377
"SMP_18",59.9453101158142,0.000535141407954963,17,-3.62913583740342e-05,-0.308064651361041
"SMP_18",63.0976600646973,0.000603856750707922,18,3.22675397707121e-05,0.273907862232437
"SMP_18",66.2539100646973,0.0005674423316539,19,-4.30408210742915e-06,-0.0365358480161806
"SMP_18",69.4101600646973,0.000510983687148546,20,-6.09204944482536e-05,-0.517132775508653
"SMP_18",72.5625,0.000563901900218038,21,-8.16041772601589e-06,-0.0692709326505735
"SMP_18",75.71875,0.000572358352973779,22,1.37137878012707e-07,0.00116411549391341
"SMP_18",78.875,0.000533486966111415,23,-3.88937111409061e-05,-0.330155114043155
"SMP_18",82.0273399353027,0.000562768185125073,24,-9.77232069011337e-06,-0.0829538132841572
"SMP_18",85.1835899353027,0.000585407571003851,25,1.27064737288723e-05,0.107860812454846
"SMP_18",88.3398399353027,0.000561871660508675,26,-1.09905932244318e-05,-0.0932953028387634
"SMP_18",91.4921898841858,0.000605546170071851,27,3.25223950657821e-05,0.2760712397179
"SMP_18",94.6484398841858,0.000586170361732816,28,1.29843009765962e-05,0.110219190813863
"SMP_18",97.8046898841858,0.000524634162007633,29,-4.87147494905681e-05,-0.413522474504282
"SMP_18",100.957030057907,0.000541858906991318,30,-3.16532174566588e-05,-0.268693094916437
"SMP_18",104.113280057907,0.000565688169110641,31,-7.98793535658406e-06,-0.0678067901277915
"SMP_18",107.269530057907,0.000554718042390421,32,-1.91226070813746e-05,-0.16232512497666
"SMP_18",110.42188000679,0.000541175077740272,33,-3.28304773508471e-05,-0.27868644250973
"SMP_18",113.57813000679,0.000553359727622812,34,-2.08115017388895e-05,-0.17666156117424
"SMP_18",116.73438000679,0.000565607421232436,35,-8.73004737866185e-06,-0.0741063195914173
"SMP_18",119.886719942093,0.000590364486191063,36,1.586042034592e-05,0.134633562457152
"SMP_18",123.042969942093,0.000612961434119991,37,3.82899997742369e-05,0.325030419349206
"SMP_18",126.199219942093,0.000595957264666698,38,2.1117896848026e-05,0.179262442119562
"SMP_18",129.351560115814,0.000563792805724875,39,-1.12148514587594e-05,-0.095198952574354
"SMP_18",132.507810115814,0.000588322604395554,40,1.31458845007505e-05,0.111590816850046
"SMP_18",135.664060115814,0.000586052647525467,41,1.07062999536934e-05,0.090882036671328
"SMP_18",138.816410064697,0.000599540837054252,42,2.4024507490694e-05,0.20393564352049
"SMP_18",141.972660064697,0.000630507701455164,43,5.48206149876424e-05,0.465353031691677
"SMP_18",145.125,0.000596898887675244,44,2.10406919330455e-05,0.178607076592273
"SMP_18",148.28125,0.000573943207915274,45,-2.08687394742148e-06,-0.0177147432295291
"SMP_18",151.4375,0.000609628494982113,46,3.34259620439632e-05,0.28374130384848
"SMP_18",154.589839935303,0.000613995661598067,47,3.76203273190404e-05,0.319345804039138
"SMP_18",157.746089935303,0.000625415387873982,48,4.88664733159739e-05,0.414810405005397
"SMP_18",160.902339935303,0.000639747737542323,49,6.30246777568838e-05,0.534994451852977
"SMP_18",164.058589935303,0.000617866998436765,50,4.09692284776139e-05,0.347773454975364
"SMP_18",167.210939884186,0.000560910030603992,51,-1.61627975439643e-05,-0.137200336760141
"SMP_18",170.367189884186,0.000570465983457343,52,-6.78268405230134e-06,-0.0575758332418692
"SMP_18",173.523439884186,0.00062741128545575,53,4.99862136446442e-05,0.424315489119678
"SMP_18",176.675780057907,0.000564126306973167,54,-1.34755145056724e-05,-0.114388930701223
"SMP_18",179.832030057907,0.000584555920999685,55,6.7765660461621e-06,0.0575238996270157
"SMP_18",182.98438000679,0.000567408747643441,56,-1.0548485300394e-05,-0.0895424032619843
"SMP_18",186.14063000679,0.000567614438640257,57,-1.05214569445628e-05,-0.0893129690002464
"SMP_18",189.29688000679,0.000591267996013956,58,1.2952872859223e-05,0.109952408514845
"SMP_18",192.449219942093,0.000553262523303445,59,-2.52321692657047e-05,-0.21418706204956
"SMP_18",195.605469942093,0.000597984629390115,60,1.93095800995478e-05,0.163912273549712
"SMP_18",198.761719942093,0.000551205291286195,61,-2.76506796482117e-05,-0.234716951014344
"SMP_18",201.914060115814,0.000616783080116234,62,3.77458477849224e-05,0.320411303383695
"SMP_18",205.070310115814,0.000575447569717396,63,-3.77171339629556e-06,-0.0320167561789283
"SMP_18",208.226560115814,0.000539322888879048,64,-4.00790099329396e-05,-0.340216701029322
"SMP_18",211.378910064697,0.000552518637940041,65,-2.70662147864889e-05,-0.229755633171024
"SMP_18",214.535160064697,0.000532852257979847,66,-4.69163395722624e-05,-0.398256401551679
"SMP_18",217.691410064697,0.000508210353538516,67,-7.17425537485819e-05,-0.608997452796387
"SMP_18",220.84375,0.000530934342601397,68,-4.92032099497574e-05,-0.417668844544029
"SMP_18",224,0.000576993374566087,69,-3.32961683254212e-06,-0.0282639530356307
"SMP_18",227.15625,0.00055374643166124,70,-2.67625634877652e-05,-0.227178043472878
"SMP_18",230.308589935303,0.000605010087528687,71,2.43147552053347e-05,0.206399454880141
"SMP_18",233.464839935303,0.000570385200957891,72,-1.04972642153183e-05,-0.0891076053810793
"SMP_18",236.621089935303,0.000541165875563625,73,-3.99042873558352e-05,-0.338733542166933
"SMP_18",239.773439884186,0.000540424655133692,74,-4.08335374490983e-05,-0.346621621280917
"SMP_18",242.929689884186,0.000544433133654395,75,-3.70138857629136e-05,-0.314197933721538
"SMP_18",246.085939884186,0.000553408521438193,76,-2.82278897035204e-05,-0.239616685342778
"SMP_18",249.238280057907,0.000508066079752672,77,-7.37600523416678e-05,-0.626123292901206
"SMP_18",252.394530057907,0.000474059230601169,78,-0.000107957422291087,-0.916412808723519
"SMP_18",255.54688000679,0.00056222422811014,79,-1.9983273997957e-05,-0.169631025485048
"SMP_18",258.70313000679,0.000576478039040655,80,-5.92111293194959e-06,-0.0502622572638533
"SMP_18",261.85938000679,0.000551817087776338,81,-3.07742789398192e-05,-0.261232093182435
"SMP_18",265.01563000679,0.000524385327041962,82,-5.83988192946213e-05,-0.495727156875063
"SMP_18",268.167969942093,0.000539470667930835,83,-4.35065830299986e-05,-0.369312170542402
"SMP_18",271.324219942093,0.00054337605306048,84,-3.97951065682372e-05,-0.337806744637889
"SMP_18",274.480469942093,0.000553567010060976,85,-2.9798623105991e-05,-0.252950091963332
"SMP_18",277.632810115814,0.000574236728504973,86,-9.32370111384698e-06,-0.0791456385685168
"SMP_18",280.789060115814,0.0005327615315991,87,-5.0994500592464e-05,-0.432874484455445
"SMP_18",283.945310115814,0.000505973399490986,88,-7.79788001371814e-05,-0.661934767782095
"SMP_18",287.097660064697,0.000537106091528786,89,-4.70425969549336e-05,-0.399328156325184
"SMP_18",290.253910064697,0.000618437493384044,90,3.40915084404838e-05,0.289390894489194
"SMP_18",293.40625,0.000539560266004318,91,-4.49833347899817e-05,-0.381847799862121
"SMP_18",296.5625,0.000589400606343645,92,4.65858007672835e-06,0.0395450573214595
"SMP_18",299.71875,0.000583290262007953,93,-1.65075458459681e-06,-0.0140126784548882
"SMP_18",302.871089935303,0.00052148018590202,94,-6.3660138302151e-05,-0.540388654222418
"SMP_18",306.027339935303,0.000518909789449961,95,-6.64306540796129e-05,-0.563906593900441
"SMP_18",309.183589935303,0.000519553399327219,96,-6.5987728374268e-05,-0.560146752464097
"SMP_18",312.335939884186,0.000509546431895844,97,-7.6195695798037e-05,-0.646798618539142
"SMP_18",315.492189884186,0.000545024080300444,98,-4.09198605539065e-05,-0.347354387933326
"SMP_18",318.648439884186,0.000553215998002554,99,-3.29303208522677e-05,-0.279533979081351
"SMP_18",321.804689884186,0.000563224330217969,100,-2.31249314751551e-05,-0.196299457276272
"SMP_18",324.957030057907,0.000571659830679757,101,-1.48926862413966e-05,-0.126418806028153
"SMP_18",328.113280057907,0.000580063085718193,102,-6.6935030107279e-06,-0.0568188065635845
"SMP_18",331.26563000679,0.000578082223546594,103,-8.87874861162227e-06,-0.0753685923621628
"SMP_18",334.42188000679,0.000566226654871932,104,-2.09395180565963e-05,-0.177748246932221
"SMP_18",337.57813000679,0.000574853372649804,105,-1.2518565876025e-05,-0.106265728397125
"SMP_18",340.730469942093,0.00059616825277757,106,8.59023978785737e-06,0.072919541839124
"SMP_18",343.886719942093,0.000574637787875584,107,-1.31471196591764e-05,-0.111601301678029
"SMP_18",347.042969942093,0.000613173362944988,108,2.51809960446989e-05,0.213752670470009
"SMP_18",350.195310115814,0.000557701886140061,109,-3.04982469032855e-05,-0.258888953743486
"SMP_18",353.351560115814,0.000603737335647126,110,1.53286143034658e-05,0.130119246917573
"SMP_18",356.507810115814,0.00058367383742008,111,-4.9440370378667e-06,-0.041968201649796
"SMP_18",359.660160064697,0.000663306674486274,112,7.44793415907639e-05,0.632229087825352
"SMP_18",362.816410064697,0.000634205544246179,113,4.51679293128542e-05,0.383414758220246
"SMP_18",365.972660064697,0.000610866448639199,114,2.16179868605924e-05,0.18350753137146
"SMP_18",369.125,0.000587212842128892,115,-2.2467690472803e-06,-0.0190720368222537
"SMP_18",372.28125,0.000572751853946532,116,-1.69197329836514e-05,-0.143625697032598
"SMP_18",375.4375,0.000584946698600024,117,-4.93742888513107e-06,-0.0419121073518737
"SMP_18",378.589839935303,0.000592875898945244,118,2.77893045755079e-06,0.0235893689549653
"SMP_18",381.746089935303,0.000625877906879365,119,3.55672689409763e-05,0.301918109353708
"SMP_18",384.902339935303,0.000582763934581125,120,-7.76093760241172e-06,-0.0658798855661569
"SMP_18",388.054689884186,0.000710217693841246,121,0.000119478288387318,1.01420941255227
