"whale_index","Elapsed_DIV_Time","Pb_DIV_Ca","row_number","no_trend","nt_sd"
"SMP_137",141.970700025558,7.77094426864078e-06,1,4.43295623334202e-06,3.50884859447622
"SMP_137",145.126950025558,9.94153768568759e-06,2,6.60030541552519e-06,5.22438552543961
"SMP_137",160.900390148163,8.3008914669219e-06,3,4.94358935474084e-06,3.91303357082155
"SMP_137",164.054690122604,7.85066242467462e-06,4,4.49017505358073e-06,3.55413940413098
"SMP_137",167.210940122604,6.53719650634387e-06,5,3.17353123947542e-06,2.51196719367668
"SMP_137",170.365230083466,8.41241006517309e-06,6,5.04557815387638e-06,3.99376147239825
"SMP_137",255.548830032349,7.40917883538811e-06,7,3.96015936008278e-06,3.134612406054
"SMP_137",258.703120231628,3.46277776194439e-06,8,1.08316530723509e-08,0.00857365348498359
"SMP_137",261.85742020607,4.52153076758623e-06,9,1.06666588134215e-06,0.844305443480872
"SMP_137",265.011720180511,2.85234332385266e-06,10,-6.05432523089897e-07,-0.479222204296975
"SMP_137",268.167970180511,3.31067945172349e-06,11,-1.50001380242363e-07,-0.118731632916688
"SMP_137",271.322260141373,2.80180984551701e-06,12,-6.6176644567217e-07,-0.523812584772064
"SMP_137",274.476560115814,2.7224094376351e-06,13,-7.44054651146788e-07,-0.588946738804509
"SMP_137",277.632810115814,3.59015513476374e-06,14,1.20809092409942e-07,0.0956248588502285
"SMP_137",280.787110090256,3.95533150510171e-06,15,4.83112865682842e-07,0.382401677457263
"SMP_137",283.941400051117,3.77988975574829e-06,16,3.04806053343646e-07,0.24126524954576
"SMP_137",287.097650051117,3.93934252527894e-06,17,4.61399462877076e-07,0.365214717129692
"SMP_137",290.251950025558,5.11411807237974e-06,18,1.63332484664461e-06,1.29283694464796
"SMP_137",293.40625,4.2837730115032e-06,19,8.00137001591752e-07,0.633337990640843
"SMP_137",296.5625,3.35715098180115e-06,20,-1.29322232386313e-07,-0.102363323583084
"SMP_137",299.71679019928,2.88463723219999e-06,21,-6.04664140418818e-07,-0.478614001031813
"SMP_137",302.871090173721,3.10294470431073e-06,22,-3.89177602197033e-07,-0.308048446812925
"SMP_137",306.025390148163,4.11704705751828e-06,23,6.22111001836721e-07,0.492423836261807
"SMP_137",309.181640148163,3.41921229021719e-06,24,-7.85321114102497e-08,-0.0621610668453094
"SMP_137",312.335940122604,4.06017910227454e-06,25,5.59635179461207e-07,0.442971915242998
"SMP_137",315.490230083466,3.06526612682632e-06,26,-4.38070269442891e-07,-0.346748798838843
"SMP_137",318.646480083466,4.68325015147224e-06,27,1.1771265432723e-06,0.931739137376449
"SMP_137",321.800780057907,4.33450994399275e-06,28,8.25607789680937e-07,0.65349906020312
"SMP_137",324.957030057907,4.61645492624871e-06,29,1.10477940751562e-06,0.874473707209367
"SMP_137",328.111330032349,4.85177320301811e-06,30,1.33733287986115e-06,1.05854837017192
"SMP_137",331.265620231628,6.13669356262687e-06,31,2.61949523938396e-06,2.07342723571627
"SMP_137",334.421870231628,6.71658005147433e-06,32,3.19662876800092e-06,2.53024974063553
"SMP_137",337.57617020607,7.20244505633193e-06,33,3.67974921413521e-06,2.9126574183001
"SMP_137",340.730470180511,5.88539838939446e-06,34,2.35996463843694e-06,1.86799917903772
"SMP_137",343.884760141373,4.02992444285152e-06,35,5.01759393153082e-07,0.397161092678578
"SMP_137",347.041010141373,2.78357993379355e-06,36,-7.47311553029146e-07,-0.591524696941407
"SMP_137",350.195310115814,2.68373455760869e-06,37,-8.49875175719746e-07,-0.672707592593635
"SMP_137",353.349610090256,2.08073879134447e-06,38,-1.45558273296899e-06,-1.1521474965864
"SMP_137",356.505860090256,2.79199369065054e-06,39,-7.47034888259009e-07,-0.591305706556946
"SMP_137",359.660150051117,2.56950654402215e-06,40,-9.72221048165918e-07,-0.769548869605087
"SMP_137",362.814450025558,2.71393973623153e-06,41,-8.30480568131488e-07,-0.657356044327801
"SMP_137",365.970700025558,2.50979188762803e-06,42,-1.03731652670036e-06,-0.821074345233375
"SMP_137",369.125,2.01288804707618e-06,43,-1.53690060204669e-06,-1.21651359352032
"SMP_137",372.27929019928,1.94041091177832e-06,44,-1.61205180001867e-06,-1.27599854250173
"SMP_137",375.43554019928,1.85105478587914e-06,45,-1.70407752912873e-06,-1.34884030615705
"SMP_137",378.589840173721,1.55473566932935e-06,46,-2.00305853103644e-06,-1.58549481233702
"SMP_137",381.744140148163,1.77874367150326e-06,47,-1.78170639621637e-06,-1.41028642175876
"SMP_137",384.898440122604,1.68609456577723e-06,48,-1.8770053998951e-06,-1.48571910313694
"SMP_137",388.054690122604,1.42918071450379e-06,49,-2.13656486103979e-06,-1.69117000372792
