"whale_index","Elapsed_DIV_Time","Pb_DIV_Ca","row_number","no_trend","nt_sd"
"SMP_164",9.46484994888306,1.70065672142759e-05,1,-1.81909113669335e-05,-1.21388894677529
"SMP_164",12.6210999488831,1.99646166862003e-05,2,-1.50954038024157e-05,-1.00732412209818
"SMP_164",15.7773499488831,7.54096442215943e-06,3,-2.73819255242813e-05,-1.82721008666826
"SMP_164",18.9296901226044,8.82108975705291e-06,4,-2.59651672273675e-05,-1.7326690709827
"SMP_164",22.0859401226044,1.13267606207065e-05,5,-2.33230228196361e-05,-1.55635740480861
"SMP_164",25.2382900714874,2.6303065856583e-05,6,-8.21074191796378e-06,-0.547907065126935
"SMP_164",28.3945400714874,2.09885150677863e-05,7,-1.33894792318597e-05,-0.893486891051329
"SMP_164",31.5507900714874,1.83902043336262e-05,8,-1.5852307881962e-05,-1.05783272375078
"SMP_164",34.7031300067902,1.15887567959839e-05,9,-2.25187727171507e-05,-1.50268937849825
"SMP_164",37.8593800067902,4.30960710134893e-05,10,9.12335891024798e-06,0.608806470177461
"SMP_164",41.0156300067902,2.89123596191546e-05,11,-4.92586876948004e-06,-0.328705776853299
"SMP_164",44.1679701805115,2.40184186837572e-05,12,-9.68582642510514e-06,-0.646340219060784
"SMP_164",47.3242201805115,1.5802909893516e-05,13,-1.77675207809623e-05,-1.18563587346234
"SMP_164",50.4804701805115,4.1588112556792e-05,14,8.15116031696746e-06,0.543931154001774
"SMP_164",53.6367201805115,2.61974277273503e-05,15,-7.10638284601638e-06,-0.474212611689887
"SMP_164",56.7890701293945,3.63124681449428e-05,16,3.14129780925232e-06,0.209620431448653
"SMP_164",59.9453201293945,3.66288716814617e-05,17,3.59016758894609e-06,0.239573744568642
"SMP_164",63.0976600646973,4.03627991191003e-05,18,7.45605872378423e-06,0.497546664306289
"SMP_164",66.2539100646973,2.68227223909349e-05,19,-5.95223025347389e-06,-0.397195410807579
"SMP_164",69.4101600646973,5.50846589443151e-05,20,2.24411534421931e-05,1.49750980403785
"SMP_164",72.5625,4.45724021847344e-05,21,1.20598402412558e-05,0.804759391843706
"SMP_164",75.71875,4.16988882216367e-05,22,9.31709032214469e-06,0.621734267735315
"SMP_164",78.875,5.9242767724201e-05,23,2.69913909556313e-05,1.80114951242569
"SMP_164",82.0273499488831,3.2619392584722e-05,24,4.97932746465622e-07,0.0332273103298601
"SMP_164",85.1835999488831,4.38120375695725e-05,25,1.18203111568115e-05,0.788775491852491
"SMP_164",88.3398499488831,3.78923134233218e-05,26,6.02997521854573e-06,0.402383372634477
"SMP_164",91.4921901226044,7.08071003643696e-06,27,-2.46527455839176e-05,-1.64509049427717
"SMP_164",94.6484401226044,4.84242633985397e-05,28,1.68195036757733e-05,1.12237420052414
"SMP_164",97.8046901226044,7.17817489346048e-06,29,-2.4298236453672e-05,-1.62143391621708
"SMP_164",100.957040071487,8.52858917875409e-06,30,-2.28199800324842e-05,-1.5227890988144
"SMP_164",104.113290071487,4.04178363351138e-05,31,9.19691858199743e-06,0.613715145211049
"SMP_164",107.269540071487,4.85311291296151e-05,32,1.74375130082202e-05,1.16361428369144
"SMP_164",110.42188000679,5.33155550573544e-05,33,2.23487329189722e-05,1.49134253460697
"SMP_164",113.57813000679,3.90079772216179e-05,34,8.16775519251629e-06,0.545038538650927
"SMP_164",116.73438000679,4.22701931451845e-05,35,1.15562190945192e-05,0.77115249161456
"SMP_164",119.886720180511,2.40724120136799e-05,36,-6.51582269262473e-06,-0.434804226472248
"SMP_164",123.042970180511,5.8686444199317e-05,37,2.82237513429484e-05,1.88338556000092
"SMP_164",126.199220180511,2.54515781774398e-05,38,-4.8859272642808e-06,-0.326040459503282
"SMP_164",129.351570129395,2.75814232821503e-05,39,-2.63140397931505e-06,-0.175594951817387
"SMP_164",132.507820129395,3.58921093680795e-05,40,5.80375878562515e-06,0.387287832781516
"SMP_164",135.664070129395,2.62535816332722e-05,41,-3.71064900990545e-06,-0.247613532254057
"SMP_164",138.816410064697,3.53210574674102e-05,42,5.48043615589161e-06,0.365712346069548
"SMP_164",141.972660064697,4.74448105737028e-05,43,1.7727593860917e-05,1.18297152938721
"SMP_164",145.125,3.08287993440591e-05,44,1.23447597544991e-06,0.0823772218681801
"SMP_164",148.28125,2.44048901104292e-05,45,-5.06674707004545e-06,-0.338106658889792
"SMP_164",151.4375,4.15257673527447e-05,46,1.21764557802481e-05,0.812541207221154
"SMP_164",154.59375,5.71698464354795e-05,47,2.79424991223392e-05,1.86461745350164
"SMP_164",157.746099948883,3.29611867219782e-05,48,3.85529151599958e-06,0.257265601677071
"SMP_164",160.902349948883,6.08400438977265e-05,49,3.18553883973421e-05,2.12572658349914
"SMP_164",164.058599948883,2.68957528774133e-05,50,-1.96802657044452e-06,-0.131327433388809
"SMP_164",167.210940122604,3.96502595977665e-05,51,1.09068427220466e-05,0.72781926960379
"SMP_164",170.367190122604,3.33725224443681e-05,52,4.74925246250003e-06,0.316920079120034
"SMP_164",173.523440122604,7.22897054004369e-05,53,4.37862163549089e-05,2.92187691876457
"SMP_164",176.675790071487,3.52341077733863e-05,54,6.84988560949708e-06,0.457096418113398
"SMP_164",179.832040071487,2.68124556833527e-05,55,-1.45271931004343e-06,-0.0969407127360438
"SMP_164",182.98438000679,4.54905504922095e-05,56,1.73439076122156e-05,1.1573679470854
"SMP_164",186.14063000679,4.45092970936675e-05,57,1.64809645494278e-05,1.09978330910411
"SMP_164",189.29688000679,4.79420468271836e-05,58,2.00316548207617e-05,1.33672271180108
"SMP_164",192.449220180511,5.13516704033522e-05,59,2.35587029572932e-05,1.57208446258519
"SMP_164",195.605470180511,3.36230104886291e-05,60,5.94724213958829e-06,0.396862551381855
"SMP_164",198.761720180511,2.02055419026868e-05,61,-7.35339945171613e-06,-0.490696157856459
"SMP_164",201.914070129395,2.95421883000326e-05,62,2.09955740214943e-06,0.140104553981951
"SMP_164",205.070320129395,3.99198840919434e-05,63,1.2593334140707e-05,0.840359716349333
"SMP_164",208.226570129395,3.50411889964416e-05,64,7.83034558502559e-06,0.522523020609689
"SMP_164",211.382820129395,3.76759406030242e-05,65,1.05804285561368e-05,0.706037483079945
"SMP_164",214.535160064697,3.43077345862272e-05,66,7.32703578250799e-06,0.488936896541692
"SMP_164",217.691410064697,4.71927167052047e-05,67,2.03265970771936e-05,1.35640436148855
"SMP_164",220.84375,2.33498513743157e-05,68,-3.40220780063728e-06,-0.227031090445164
"SMP_164",224,2.40226854766757e-05,69,-2.61554978144378e-06,-0.17453699297367
"SMP_164",227.15625,2.8172073674184e-05,70,1.64728331718398e-06,0.109924069806187
"SMP_164",230.308599948883,2.08350101391458e-05,71,-5.57685457626116e-06,-0.372146397249902
"SMP_164",233.464849948883,7.59034106286517e-05,72,4.96042309482483e-05,3.31011604898593
"SMP_164",236.621099948883,3.11566335919826e-05,73,4.96975762642254e-06,0.331634503031689
"SMP_164",239.773440122604,3.07825488688586e-05,74,4.70745612251736e-06,0.31413098768326
"SMP_164",242.929690122604,5.52686350534932e-05,75,2.93050815510215e-05,1.95554328541209
"SMP_164",246.085940122604,4.13476315904866e-05,76,1.54952337072803e-05,1.0340049789456
"SMP_164",249.238290071487,3.01568720988317e-05,77,4.41510880378689e-06,0.294622499533987
"SMP_164",252.394540071487,3.84757437858347e-05,78,1.28443670318544e-05,0.857111271326106
"SMP_164",255.550790071487,3.26650893858554e-05,79,7.14371324388934e-06,0.476703688494267
"SMP_164",258.70313000679,5.16771974413569e-05,80,2.626529966017e-05,1.75269706383027
"SMP_164",261.85938000679,3.63575629518127e-05,81,1.10548920996247e-05,0.737698681327259
"SMP_164",265.01563000679,3.8803015506287e-05,82,1.3609183349604e-05,0.908147860736205
"SMP_164",268.167970180511,4.59723735836608e-05,83,2.08868570186815e-05,1.3937907978564
"SMP_164",271.324220180511,3.46191115431787e-05,84,9.64165538462694e-06,0.643392662628756
"SMP_164",274.480470180511,5.6563109675573e-05,85,3.16933233855109e-05,2.11491190123542
"SMP_164",277.632820129395,2.14583731786862e-05,86,-3.30426686731343e-06,-0.220495441186008
"SMP_164",280.789070129395,4.7260164048797e-05,87,2.26044109749612e-05,1.50840406384195
"SMP_164",283.945320129395,2.7769686610735e-05,88,3.22042766667883e-06,0.21490080786039
"SMP_164",287.097660064697,5.04521459122849e-05,89,2.60088562902246e-05,1.73558446479818
