"whale_index","Pb_DIV_Ca","row_number","millimeters","no_trend","nt_sd"
"SMP_210151",6.87296137611744e-07,1,0.1,-5.07245247202165e-07,-0.996874449074282
"SMP_210151",8.76950018807785e-07,2,0.2584,-3.17925023327769e-07,-0.624808875440253
"SMP_210151",6.18225673014865e-07,3,0.4168,-5.76983497375242e-07,-1.13392902002225
"SMP_210151",7.30220542684255e-07,4,0.5752,-4.65323225115194e-07,-0.914486308618482
"SMP_210151",9.53673969215373e-07,5,0.7336,-2.42204863370084e-07,-0.475998229785156
"SMP_210151",1.11883824826383e-06,6,0.892,-7.73761147061867e-08,-0.152065045744029
"SMP_210151",6.53624682569594e-07,7,1.0504,-5.42925674605399e-07,-1.06699616358324
"SMP_210151",1.20490806772922e-06,8,1.2088,8.02125430694588e-09,0.0157639396568549
"SMP_210151",6.54307723286302e-07,9,1.3672,-5.42916006647444e-07,-1.06697716342441
"SMP_210151",8.32000574385913e-07,10,1.5256,-3.65560530545364e-07,-0.718425563375405
"SMP_210151",8.85499473956217e-07,11,1.684,-3.12399462680532e-07,-0.613949650526026
"SMP_210151",1.07384864073586e-06,12,1.8424,-1.24388582536177e-07,-0.244457292346914
"SMP_210151",7.41348320094872e-07,13,2.0008,-4.5722764296416e-07,-0.898576294594178
"SMP_210151",1.05063378031972e-06,14,2.1592,-1.48281373899884e-07,-0.291413105849193
"SMP_210151",1.211212247255e-06,15,2.3176,1.19574522793695e-08,0.0234996359632281
"SMP_210151",7.97429183459546e-07,16,2.476,-4.02165700089445e-07,-0.790364646932718
"SMP_210151",1.15372439058627e-06,17,2.6344,-4.62110275753022e-08,-0.0908171991938365
"SMP_210151",8.33246839537164e-07,18,2.7928,-3.67029557498079e-07,-0.721312599660595
"SMP_210151",6.84868308447405e-07,19,2.9512,-5.15749509944483e-07,-1.01358763127321
"SMP_210151",9.85626680491082e-07,20,3.1096,-2.15332999962304e-07,-0.423187731948094
"SMP_210151",8.00598313352723e-07,21,3.268,-4.00703668088893e-07,-0.787491357625192
"SMP_210151",9.74719108305449e-07,22,3.4264,-2.26925611273007e-07,-0.445970356482145
"SMP_210151",1.25133061832056e-06,23,3.5848,4.93427252347744e-08,0.0969718342469459
"SMP_210151",1.09059628119181e-06,24,3.7432,-1.11735218993675e-07,-0.219590002056974
"SMP_210151",7.33163847053075e-07,25,3.9016,-4.69511692046352e-07,-0.922717781830886
"SMP_210151",1.15224844776052e-06,26,4.06,-5.07715602889805e-08,-0.0997798825536302
"SMP_210151",8.3198270805629e-07,27,4.2184,-3.71382197201284e-07,-0.729866716885123
"SMP_210151",1.16566218314427e-06,28,4.3768,-3.80480458012678e-08,-0.0747747266350926
"SMP_210151",9.73157742238713e-07,29,4.5352,-2.30898235096545e-07,-0.45377763946274
"SMP_210151",1.76088083804153e-06,30,4.6936,5.56478689392906e-07,1.09363151250787
"SMP_210151",4.14713679438526e-07,31,4.852,-7.90035061668985e-07,-1.55263311227586
"SMP_210151",6.71525050444722e-07,32,5.0104,-5.33570702489077e-07,-1.0486111067966
"SMP_210151",5.30269676374688e-07,33,5.1688,-6.75173505974678e-07,-1.32689901090351
"SMP_210151",8.99623096770875e-07,34,5.3272,-3.06167930805216e-07,-0.601703000726234
"SMP_210151",4.62542924998952e-07,35,5.4856,-7.43596361836901e-07,-1.46136847536467
"SMP_210151",1.02296992919747e-06,36,5.644,-1.83518029153066e-07,-0.360662687755549
"SMP_210151",1.5158020776466e-06,37,5.8024,3.08965037304598e-07,0.607200073426181
"SMP_210151",2.11721358019906e-06,38,5.9608,9.10027049166902e-07,1.78844990324648
"SMP_210151",1.25279964228512e-06,39,6.1192,4.52632136422647e-08,0.0889544878179622
"SMP_210151",1.1749249710391e-06,40,6.2776,-3.29617603568869e-08,-0.0647787966028869
"SMP_210151",1.47814765927908e-06,41,6.436,2.69910221765648e-07,0.530446771273363
"SMP_210151",1.28257703270679e-06,42,6.5944,7.39884874897224e-08,0.145407439716749
"SMP_210151",1.63297860537963e-06,43,6.7528,4.24038552650855e-07,0.833350732986962
"SMP_210151",1.98740085615498e-06,44,6.9112,7.78108897884554e-07,1.52919496668899
"SMP_210151",1.56005020127932e-06,45,7.0696,3.50405941215412e-07,0.688642686211803
"SMP_210151",1.46604893780424e-06,46,7.228,2.56051981473143e-07,0.503211571470251
"SMP_210151",1.45276805161333e-06,47,7.3864,2.42418006319462e-07,0.476417113473878
"SMP_210151",1.58842735919541e-06,48,7.5448,3.77723834021314e-07,0.742329752755968
"SMP_210151",1.77064935107436e-06,49,7.7032,5.59591956880679e-07,1.09974992727629
"SMP_210151",1.19451870314718e-06,50,7.8616,-1.68929474272999e-08,-0.0331992221764843
"SMP_210151",1.21119423781213e-06,51,8.02,-5.72054726254199e-10,-0.00112424264834504
